ID	Score	Grade	Description	First	Last	Party	District	City	Email	Phone	Chamber	Supported	Absent	Opposed	Picture	loadID
11	58	F	Stuart Bishop R43-Lafayette	Stuart	Bishop	R	43	Lafayette	bishops@legis.la.gov	(337)981-7409	Representative	50	14	36	http://house.louisiana.gov/H_Reps/RepPics09/rep43.jpg	43
12	92	A	Wesley Bishop D99-New Orleans	Wesley	Bishop	D	99	New Orleans	bishopw@legis.la.gov	504-242-4198	Representative	79	14	7	http://house.louisiana.gov/H_Reps/RepPics09/rep99.jpg	99
13	64	D	Chris Broadwater R86-Hammond	Chris	Broadwater	R	86	Hammond	broadwaterc@legis.la.gov	985-543-4900	Representative	64	0	36	http://house.louisiana.gov/H_Reps/RepPics09/rep86.jpg	86
14	N/A	N/A	Joseph Bouie 97-New Orleans	Joseph	Bouie	D	97	New Orleans	bouiej@legis.la.gov	(504)286-1033	Representative	0	0	0	http://house.louisiana.gov/H_Reps/RepPics09/rep97.jpg	97
15	83	B	Terry Brown I22-Colfax	Terry	Brown	I	22	Colfax	browntr@legis.la.gov	(855)261-6566	Representative	71	14	14	http://house.louisiana.gov/H_Reps/RepPics09/rep22.jpg	22
16	57	F	Richie Burford R7-Stonewall	Richie	Burford	R	7	Stonewall	burfordr@legis.la.gov	318-925-9588	Representative	57	0	43	http://house.louisiana.gov/H_Reps/RepPics09/rep7.jpg	7
17	64	D	Henry Burns R9-Haughton	Henry	Burns	R	9	Bossier Parish	burnsh@legis.la.gov	318-949-2463	Representative	64	0	36	http://house.louisiana.gov/H_Reps/RepPics09/rep9.jpg	9
18	62	D	Tim Burns R89-Mandeville	Tim	Burns	R	89	Haughton	larep089@legis.la.gov	985-624-4492	Representative	57	7	36	http://house.louisiana.gov/H_Reps/RepPics09/rep89.jpg	89
19	79	C	Roy Burrell D2-Shreveport	Roy	Burrell	D	2	Shreveport	larep002@legis.la.gov	318-676-7137	Representative	79	0	21	http://house.louisiana.gov/h_reps/RepPics09/rep2.jpg	2
20	58	F	Thomas Carmody R6-Shreveport, Bossier	Thomas	Carmody	R	6	Shreveport, Bossier	carmodyt@legis.la.gov	318-862-9956	Representative	50	14	36	http://house.louisiana.gov/H_Reps/RepPics09/rep6.jpg	6
21	57	F	Steve Carter R68-Baton Rouge	Steve	Carter	R	68	Baton Rouge	carters@legis.la.gov	225-362-5305	Representative	57	0	43	http://house.louisiana.gov/H_Reps/RepPics09/rep68.jpg	68
22	57	F	Simone Champagne R49-Jeanerette	Simone	Champagne	R	49	Jeanerette	champagnes@legis.la.gov	337-937-8827	Representative	57	0	43	http://house.louisiana.gov/H_Reps/RepPics09/rep49.jpg	49
23	71	C	Bubba Chaney R19-Rayville	Bubba	Chaney	R	19	Rayville	chaneyb@legis.la.gov	(318)728-5875	Representative	71	0	29	http://house.louisiana.gov/H_Reps/RepPics09/rep19.jpg	19
24	93	A	Patrick Connick R84-Marrero	Patrick	Connick	R	84	Marrero	connickp@legis.la.gov	504-371-0240	Representative	93	0	7	http://house.louisiana.gov/H_Reps/RepPics09/rep84.jpg	84
25	100	A	Kenny Cox D23-Natchitoches	Kenny	Cox	D	23	Natchitoches	coxk@legis.la.gov	855-844-8583	Representative	93	7	0	http://house.louisiana.gov/H_Reps/RepPics09/rep23.jpg	23
26	67	D	Greg Cromer R90-Slidell-Pearl River	Greg	Cromer	R	90	Slidell-Pearl River	cromerg@legis.la.gov	985-645-3592	Representative	43	36	21	http://house.louisiana.gov/H_Reps/RepPics09/rep90.jpg	90
27	62	D	Mike Danahay D33-Sulphur	Mike	Danahay	D	33	Sulphur	danahaym@legis.la.gov	337-527-5581	Representative	57	7	36	http://house.louisiana.gov/H_Reps/RepPics09/rep33.jpg	33
28	92	A	Herbert Dixon D26-Alexandria	Herbert	Dixon	D	26	Alexandria	dixonh@legis.la.gov	318-487-5661	Representative	79	14	7	http://house.louisiana.gov/H_Reps/RepPics09/rep26.jpg	26
29	57	F	Gordon Dove R52-Houma	Gordon	Dove	R	52	Houma	larep052@legis.la.gov	985-876-8823	Representative	57	0	43	http://house.louisiana.gov/H_Reps/RepPics09/rep52.jpg	52
30	100	A	John Bel Edwards D72-Amite	John Bel	Edwards	D	72	Amite	edwardsj@legis.la.gov	985-748-2245	Representative	93	7	0	http://house.louisiana.gov/H_Reps/RepPics09/rep72.jpg	72
31	71	C	Jim Fannin R13-Jonesboro	Jim	Fannin	R	13	Jonesboro	larep013@legis.la.gov	318-259-6620	Representative	71	0	29	http://house.louisiana.gov/H_Reps/RepPics09/rep13.jpg	13
32	71	C	Franklin Foil R70-Baton Rouge	Franklin	Foil	R	70	Baton Rouge	foilf@legis.la.gov	225-342-6777	Representative	71	0	29	http://house.louisiana.gov/H_Reps/RepPics09/rep70.jpg	70
33	93	A	A.B. Franklin D34-Lake Charles	A.B.	Franklin	D	34	Lake Charles	franklina@legis.la.gov	337-491-2320	Representative	93	0	7	http://house.louisiana.gov/H_Reps/RepPics09/rep34.jpg	34
34	92	A	Randal Gaines D57-LaPlace	Randal	Gaines	D	57	LaPlace	gainesr@legis.la.gov	985-652-1228	Representative	79	14	7	http://house.louisiana.gov/H_Reps/RepPics09/rep57.jpg	57
35	54	F	Ray Garofalo R103-Chalmette	Ray	Garofalo	R	103	Chalmette	garofalor@legis.la.gov	504-277-4729	Representative	50	7	43	http://house.louisiana.gov/H_Reps/RepPics09/rep103.jpg	103
36	60	F	Brett Geymann R35-Lake Charles	Brett	Geymann	R	35	Lake Charles	larep035@legis.la.gov	337-491-2315	Representative	43	29	29	http://house.louisiana.gov/H_Reps/RepPics09/rep35.jpg	35
37	64	D	Jerry Gisclair D54-Larose	Jerry	Gisclair	D	54	Larose	gisclairj@legis.la.gov	985-798-7707	Representative	64	0	36	http://house.louisiana.gov/H_Reps/RepPics09/rep54.jpg	54
38	100	A	Hunter Greene R66-Baton Rouge	Hunter	Greene	R	66	Baton Rouge	larep066@legis.la.gov	225-362-5900	Representative	57	43	0	http://house.louisiana.gov/H_Reps/RepPics09/rep66.jpg	66
39	100	A	Mickey Guillory D41-Eunice	Mickey	Guillory	D	41	Eunice	larep041@legis.la.gov	337-457-0194	Representative	86	14	0	http://house.louisiana.gov/H_Reps/RepPics09/rep41.jpg	41
40	54	F	Johnny Guinn R37-Jennings	Johnny	Guinn	R	37	Jennings	guinnj@legis.la.gov	337-824-0376	Representative	50	7	43	http://house.louisiana.gov/H_Reps/RepPics09/rep37.jpg	37
41	57	F	Lance Harris R25-Alexandria	Lance	Harris	R	25	Alexandria	harrisl@legis.la.gov	318-767-6095	Representative	57	0	43	http://house.louisiana.gov/H_Reps/RepPics09/rep25.jpg	25
42	69	D	Joe Harrison R51-Gray	Joe	Harrison	R	51	Gray	harrisoj@legis.la.gov	800-935-2081	Representative	64	7	29	http://house.louisiana.gov/H_Reps/RepPics09/rep51.jpg	51
43	54	F	Kenny Havard R62-Jackson	Kenny	Havard	R	62	Jackson	havardk@legis.la.gov	225-634-7470	Representative	50	7	43	http://house.louisiana.gov/H_Reps/RepPics09/rep62.jpg	62
44	86	B	Chris Hazel R27-Pineville	Chris	Hazel	R	27	Pineville	hazelc@legis.la.gov	318-767-6082	Representative	86	0	14	http://house.louisiana.gov/H_Reps/RepPics09/rep27.jpg	27
45	54	F	Cameron Henry R82-Metairie	Cameron	Henry	R	82	Metairie	henryc@legis.la.gov	504-838-5433	Representative	50	7	43	http://house.louisiana.gov/H_Reps/RepPics09/rep82.jpg	82
46	67	D	Bob Hensgens R47-Abbeville	Bob	Hensgens	R	47	Abbeville	hensgensb@legis.la.gov	337-893-5035	Representative	57	14	29	http://house.louisiana.gov/H_Reps/RepPics09/rep47.jpg	47
47	100	A	Dorothy Sue Hill D32-Dry Creek	Dorothy Sue	Hill	D	32	Dry Creek	hilld@legis.la.gov	800-259-2118	Representative	93	7	0	http://house.louisiana.gov/H_Reps/RepPics09/rep32.jpg	32
48	57	F	Valerie Hodges R64-Denham Springs	Valerie	Hodges	R	64	Denham Springs	hodgesv@legis.la.gov	225-791-2199	Representative	57	0	43	http://house.louisiana.gov/H_Reps/RepPics09/rep64.jpg	64
49	57	F	Frank Hoffmann R15-W Monroe	Frank	Hoffmann	R	15	W Monroe	hoffmanf@legis.la.gov	318-362-4130	Representative	57	0	43	http://house.louisiana.gov/H_Reps/RepPics09/rep15.jpg	15
50	60	F	Paul Hollis R104-Covington	Paul	Hollis	R	104	Covington	hollisp@legis.la.gov	985-871-4680	Representative	43	29	29	http://house.louisiana.gov/H_Reps/RepPics09/rep104.jpg	104
51	79	C	Dalton Honore D63-Baton Rouge	Dalton	Honore	D	63	Baton Rouge	honored@legis.la.gov	225-771-5674	Representative	79	0	21	http://house.louisiana.gov/H_Reps/RepPics09/rep63.jpg	63
52	57	F	Frank Howard R24-Many	Frank	Howard	R	24	Many	howardf@legis.la.gov	318-256-4135	Representative	57	0	43	http://house.louisiana.gov/H_Reps/RepPics09/rep24.jpg	24
53	86	B	Marcus Hunter D17-Monroe	Marcus	Hunter	D	17	Monroe	hunterm@legis.la.gov	318-362-3440	Representative	86	0	14	http://house.louisiana.gov/H_Reps/RepPics09/rep17.jpg	17
54	75	C	Mike Huval R46-Breaux Bridge	Mike	Huval	R	46	Breaux Bridge	huvalm@legis.la.gov	337-332-3331	Representative	64	14	21	http://house.louisiana.gov/H_Reps/RepPics09/rep46.jpg	46
55	57	F	Barry Ivey R65-Baton Rouge	Barry	Ivey	R	65	Baton Rouge	iveyb@legis.la.gov	225-261-5739	Representative	57	0	43	http://house.louisiana.gov/H_Reps/RepPics09/rep65.jpg	65
56	83	B	Katrina Jackson D16-Monroe	Katrina	Jackson	D	16	Monroe	jacksonk@legis.la.gov	318-362-5123	Representative	71	14	14	http://house.louisiana.gov/H_Reps/RepPics09/rep16.jpg	16
57	92	A	Ted James D101-Baton Rouge	Ted	James	D	101	Baton Rouge	james.ted@legis.la.gov	225-925-4859	Representative	86	7	7	http://house.louisiana.gov/H_Reps/RepPics09/rep101.jpg	101
58	100	A	Patrick Jefferson D11-Homer	Patrick	Jefferson	D	11	Homer	jeffersonpo@legis.la.gov	318-927-2519	Representative	93	7	0	http://house.louisiana.gov/H_Reps/RepPics09/rep11.jpg	11
59	100	A	Robert Johnson D28-Marksville	Robert	Johnson	D	28	Marksville	johnsoro@legis.la.gov	318-253-8891	Representative	100	0	0	http://house.louisiana.gov/H_Reps/RepPics09/rep28.jpg	28
60	67	D	Sam Jones D50-Franklin	Sam	Jones	D	50	Franklin	joness@legis.la.gov	337-828-7778	Representative	57	14	29	http://house.louisiana.gov/H_Reps/RepPics09/rep50.jpg	50
61	58	F	Chuck Kleckley, Speaker R36-Lake Charles	Chuck	Kleckley	R	36	Lake Charles	larep036@legis.la.gov	337-475-3016	Representative	50	14	36	http://house.louisiana.gov/H_Reps/RepPics09/rep36.jpg	36
62	86	B	Eddie Lambert R59-Gonzales	Eddie	Lambert	R	59	Gonzales	larep059@legis.la.gov	225-673-5048	Representative	86	0	14	http://house.louisiana.gov/H_Reps/RepPics09/rep59.jpg	59
63	54	F	Nancy Landry R31-Lafayette	Nancy	Landry	R	31	Lafayette	landryn@legis.la.gov	337-262-2252	Representative	50	7	43	http://house.louisiana.gov/H_Reps/RepPics09/rep31.jpg	31
64	100	A	Terry Landry D96-New Iberia	Terry	Landry	D	96	New Iberia	landryt@legis.la.gov	337-373-9380	Representative	93	7	0	http://house.louisiana.gov/H_Reps/RepPics09/rep96.jpg	96
65	100	A	Bernard LeBas D38-Ville Platte	Bernard	LeBas	D	38	Ville Platte	lebasb@legis.la.gov	337-363-0152	Representative	100	0	0	http://house.louisiana.gov/H_Reps/RepPics09/rep38.jpg	38
66	92	A	Walt Leger D91-New Orleans	Walt	Leger	D	91	New Orleans	legerw@legis.la.gov	504-556-9970	Representative	86	7	7	http://house.louisiana.gov/H_Reps/RepPics09/rep91.jpg	91
67	57	F	Chris Leopold R105-Belle Chase	Chris	Leopold	R	105	Belle Chase	leopoldc@legis.la.gov	504-393-5649	Representative	57	0	43	http://house.louisiana.gov/H_Reps/RepPics09/rep105.jpg	105
68	67	D	Joseph Lopinto R80-Metairie	Joseph	Lopinto	R	80	Metairie	lopintoj@legis.la.gov	504-838-5430	Representative	57	14	29	http://house.louisiana.gov/H_Reps/RepPics09/rep80.jpg	80
69	57	F	Nick Lorusso R94-New Orleans	Nick	Lorusso	R	94	New Orleans	larep094@legis.la.gov	504-483-4711	Representative	57	0	43	http://house.louisiana.gov/H_Reps/RepPics09/rep94.jpg	94
70	57	F	Sherman Mack R95-Livingston	Sherman	Mack	R	95	Livingston	macks@legis.la.gov	225-686-3887	Representative	57	0	43	http://house.louisiana.gov/H_Reps/RepPics09/rep95.jpg	95
71	64	D	Gregory Miller R56-Norco	Gregory	Miller	R	56	Norco	millerg@legis.la.gov	985-764-9991	Representative	64	0	36	http://house.louisiana.gov/H_Reps/RepPics09/rep56.jpg	56
72	92	A	Jack Montoucet D42-Crowley	Jack	Montoucet	D	42	Crowley	montoucj@legis.la.gov	337-783-2999	Representative	79	14	7	http://house.louisiana.gov/H_Reps/RepPics09/rep42.jpg	42
73	92	A	Helena Moreno D93-New Orleans	Helena	Moreno	D	93	New Orleans	morenoh@legis.la.gov	504-568-2740	Representative	79	14	7	http://house.louisiana.gov/H_Reps/RepPics09/rep93.jpg	93
74	69	D	Jay Morris R14-Monroe	Jay	Morris	R	14	Monroe	morrisjc@legis.la.gov	318-362-4270	Representative	64	7	29	http://house.louisiana.gov/H_Reps/RepPics09/rep14.jpg	14
75	50	F	Jim Morris R1-Oil City	Jim	Morris	R	1	Oil City	larep001@legis.la.gov	318-995-6852	Representative	29	43	29	http://house.louisiana.gov/H_Reps/RepPics09/rep1.jpg	1
76	92	A	Barbara Norton D3-Shreveport	Barbara	Norton	D	3	Shreveport	nortonb@legis.la.gov	318-632-5887	Representative	86	7	7	http://house.louisiana.gov/H_Reps/RepPics09/rep3.jpg	3
77	86	B	Stephen Ortego D39-Carencro	Stephen	Ortego	D	39	Carencro	ortegos@legis.la.gov	855-704-6319	Representative	86	0	14	http://house.louisiana.gov/H_Reps/RepPics09/rep39.jpg	39
78	83	B	Kevin Pearson R76-Slidell	Kevin	Pearson	R	76	Slidell	pearsonk@legis.la.gov	985-646-6487	Representative	71	14	14	http://house.louisiana.gov/H_Reps/RepPics09/rep76.jpg	76
79	93	A	Vincent Pierre D44-Lafayette	Vincent	Pierre	D	44	Lafayette	pierrev@legis.la.gov	337-262-2330	Representative	93	0	7	http://house.louisiana.gov/H_Reps/RepPics09/rep44.jpg	44
80	64	D	Erich Ponti R69-Baton Rouge	Erich	Ponti	R	69	Baton Rouge	pontie@legis.la.gov	225-362-5301	Representative	64	0	36	http://house.louisiana.gov/H_Reps/RepPics09/rep69.jpg	69
81	57	F	Rogers Pope R71-Denham Springs	Rogers	Pope	R	71	Denham Springs	poper@legis.la.gov	225-667-3588	Representative	57	0	43	http://house.louisiana.gov/H_Reps/RepPics09/rep71.jpg	71
82	79	C	Edward Price D58-Gonzales	Edward	Price	D	58	Gonzales	pricee@legis.la.gov	225-644-6738	Representative	79	0	21	http://house.louisiana.gov/H_Reps/RepPics09/rep78.jpg	58
83	54	F	Steve Pugh R73-Pontchatoula	Steve	Pugh	R	73	Pontchatoula	pughs@legis.la.gov	985-386-7844	Representative	50	7	43	http://house.louisiana.gov/H_Reps/RepPics09/rep73.jpg	73
84	64	D	Steve Pylant R20-Winnsboro	Steve	Pylant	R	20	Winnsboro	pylants@legis.la.gov	318-435-7313	Representative	64	0	36	http://house.louisiana.gov/H_Reps/RepPics09/rep20.jpg	20
85	82	B	Gene Reynolds D10-Minden	Gene	Reynolds	D	10	Minden	reynoldsg@legis.la.gov	318-371-3092	Representative	64	21	14	http://house.louisiana.gov/H_Reps/RepPics09/rep10.jpg	10
86	69	D	Dee Richard I55-Thibodaux	Dee	Richard	I	55	Thibodaux	richardj@legis.la.gov	985-447-0999	Representative	64	7	29	http://house.louisiana.gov/H_Reps/RepPics09/rep55.jpg	55
87	100	A	Harold Ritchie D75-Bogalusa	Harold	Ritchie	D	75	Bogalusa	larep075@legis.la.gov	985-730-2147	Representative	100	0	0	http://house.louisiana.gov/H_Reps/RepPics09/rep75.jpg	75
88	33	F	Joel Robideaux R45-Lafayette	Joel	Robideaux	R	45	Lafayette	larep045@legis.la.gov	337-984-1091	Representative	21	36	43	http://house.louisiana.gov/H_Reps/RepPics09/rep45.jpg	45
89	57	F	Clay Schexnayder R81-Gonzales	Clay	Schexnayder	R	81	Gonzales	schexnayderc@legis.la.gov	225-473-6016	Representative	57	0	43	http://house.louisiana.gov/H_Reps/RepPics09/rep81.jpg	81
90	62	D	John Schroder R77-Covington	John	Schroder	R	77	Covington	schrodej@legis.la.gov	985-893-6262	Representative	57	7	36	http://house.louisiana.gov/H_Reps/RepPics09/rep77.jpg	77
91	50	F	Alan Seabaugh R5-Shreveport	Alan	Seabaugh	R	5	Shreveport	seabaugha@legis.la.gov	318-676-7990	Representative	36	29	36	http://house.louisiana.gov/H_Reps/RepPics09/rep5.jpg	5
92	92	A	Rob Shadoin R12-Ruston	Rob	Shadoin	R	12	Ruston	shadoinr@legis.la.gov	318-251-5039	Representative	86	7	7	http://house.louisiana.gov/H_Reps/RepPics09/rep12.jpg	12
93	40	F	Scott Simon R74-Abita Springs	Scott	Simon	R	74	Abita Springs	simons@legis.la.gov	985-893-6246	Representative	29	29	43	http://house.louisiana.gov/H_Reps/RepPics09/rep74.jpg	74
94	100	A	Pat Smith D67-Baton Rouge	Pat	Smith	D	67	Baton Rouge	smithp@legis.la.gov	225-342-7106	Representative	86	14	0	http://house.louisiana.gov/H_Reps/RepPics09/rep67.jpg	67
95	90	B	Karen G. St. Germain D60-Plaquemine	Karen G.	St. Germain	D	60	Plaquemine	larep060@legis.la.gov	225-687-2410	Representative	64	29	7	http://house.louisiana.gov/H_Reps/RepPics09/rep60.jpg	60
96	62	D	Julie Stokes R79-Kenner	Julie	Stokes	R	79	Kenner	stokesj@legis.la.gov	504-468-8603	Representative	57	7	36	http://house.louisiana.gov/H_Reps/RepPics09/rep79.jpg	79
97	58	F	Kirk Talbot R78-River Ridge	Kirk	Talbot	R	78	River Ridge	talbotk@legis.la.gov	504-736-7299	Representative	50	14	36	http://house.louisiana.gov/H_Reps/RepPics09/rep78.jpg	78
98	64	D	Major Thibaut D18-New Roads	Major	Thibaut	D	18	New Roads	thibautm@legis.la.gov	225-638-3811	Representative	64	0	36	http://house.louisiana.gov/H_Reps/RepPics09/rep18.jpg	18
99	85	B	Ledricka Thierry D40-Opelousas	Ledricka	Thierry	D	40	Opelousas	thierryl@legis.la.gov	337-948-369	Representative	79	7	14	http://house.louisiana.gov/H_Reps/RepPics09/rep40.jpg	40
100	54	F	Jeff Thompson R8-Bossier City	Jeff	Thompson	R	8	Bossier City	thompsonj@legis.la.gov	318-741-2850	Representative	50	7	43	http://house.louisiana.gov/H_Reps/RepPics09/rep8.jpg	8
101	57	F	Lenar Whitney R53-Houma	Lenar	Whitney	R	53	Houma	whitneyl@legis.la.gov	985-858-2970	Representative	57	0	43	http://house.louisiana.gov/H_Reps/RepPics09/rep53.jpg	53
102	92	A	Alfred Williams D61-Baton Rouge	Alfred	Williams	D	61	Baton Rouge	williamsa@legis.la.gov	225-382-3243	Representative	86	7	7	http://house.louisiana.gov/H_Reps/RepPics09/rep61.jpg	61
103	86	B	Patrick Williams D4-Shreveport	Patrick	Williams	D	4	Shreveport	larep004@legis.la.gov	318-676-5990	Representative	86	0	14	http://house.louisiana.gov/H_Reps/RepPics09/rep4.jpg	4
104	86	B	Tom Willmott R92-Kenner	Tom	Willmott	R	92	Kenner	willmott@legis.la.gov 	504-465-3479	Representative	86	0	14	http://house.louisiana.gov/H_Reps/RepPics09/rep92.jpg	92
105	92	A	Ebony Woodruff D87-Harvey	Ebony	Woodruff	D	87	Harvey	woodruffe@legis.la.gov	504-361-6972	Representative	86	7	7	http://house.louisiana.gov/H_Reps/RepPics09/rep87.jpg	87
106	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	145
107	67	D	Robert Adley R36-Benton	Robert	Adley	R	36	Benton	adleyr@legis.la.gov	318-965-1755	Senator	67	0	33	http://senate.la.gov/Adley/images/adley2012.jpg	141
108	67	D	John A. Alario, Jr. President R8-Westwego	John A.	Alario Jr.	R	8	Westwego	alarioj@legis.la.gov	504-340-2221	Senator	67	0	33	http://senate.la.gov/Alario/images/alario2008.jpg	113
109	67	D	Brent Allain R21-Franklin	Brent	Allain	R	21	Franklin	allainb@legis.la.gov	337-828-9107	Senator	67	0	33	http://senate.la.gov/Allain/images/allain2012.jpg	126
110	79	C	Jody Amedee R18-Gonzales	Jody	Amedee	R	18	Gonzales	amedeej@legis.la.gov	225-644-1526	Senator	73	7	20	http://senate.la.gov/Amedee/images/amedee2004.jpg	123
111	73	C	Conrad Appel R9-Metairie	Conrad	Appel	R	9	Metairie	appelc@legis.la.gov	504-838-5550	Senator	53	27	20	http://senate.la.gov/Appel/images/appel2008.gif	114
112	87	B	Sharon Weston Broome D15-Baton Rouge	Sharon Weston	Broome	D	15	Baton Rouge	lasen15@legis.la.gov	225-359-9352	Senator	87	0	13	http://senate.la.gov/Broome/images/broome2005.jpg	120
113	91	A	Troy E. Brown D2-Napoleonville	Troy E.	Brown	D	2	Napoleonville	brownte@legis.la.gov	985-369-3333	Senator	67	27	7	http://senate.la.gov/Brown/images/brown2012.jpg	107
114	67	D	Sherri Smith Buffington R38-Shreveport	Sherri	Smith Buffington	R	38	Shreveport	smithbuffington@legis.la.gov	318-687-4820	Senator	67	0	33	http://senate.la.gov/Cheek/images/cheek2004.jpg	143
115	60	F	Norby Chabert R20-Houma	Norby	Chabert	R	20	Houma	chabertn@legis.la.gov	985-858-2927	Senator	60	0	40	http://senate.la.gov/Chabert/images/chabert2009.jpg	125
116	53	F	Dan Claitor R16-Baton Rouge	Dan	Claitor	R	16	Baton Rouge	claitord@legis.la.gov	225-765-0206	Senator	53	0	47	http://senate.la.gov/Claitor/images/Claitor2014.png	121
117	73	C	Page Cortez R23-Lafayette	Page	Cortez	R	23	Lafayette	cortezp@legis.la.gov	337-993-7430	Senator	73	0	27	http://senate.la.gov/Cortez/images/cortez2012.jpg	128
118	85	B	A.G. Crowe R1-Pearl River,Slidell	A.G.	Crowe	R	1	Pearl River,Slidell	crowea@legis.la.gov	985-643-3600	Senator	73	13	13	http://senate.la.gov/Crowe/images/crowe2013.jpg	106
119	64	D	Jack Donahue R11-Mandeville	Jack	Donahue	R	11	Mandeville	donahuej@legis.la.gov	985-727-7949	Senator	47	27	27	http://senate.la.gov/Donahue/images/donahue2008.gif	116
120	93	A	Yvonne Dorsey-Colomb D14-Baton Rouge	Yvonne	Dorsey-Colomb	D	14	Baton Rouge	dorseyy@legis.la.gov	225-342-9700	Senator	87	7	7	http://senate.la.gov/Dorsey/images/Dorsey2008.jpg	119
121	67	D	Dale M. Erdey R13-Livingston	Dale M.	Erdey	R	13	Livingston	erdeyd@legis.la.gov	225-686-2881	Senator	67	0	33	http://senate.la.gov/Erdey/images/erdey2008.jpg	118
122	93	A	Rick Gallot D29-Ruston	Rick	Gallot	D	29	Ruston	gallotr@legis.la.gov	318-251-5019	Senator	87	7	7	http://senate.la.gov/Gallot/images/gallot2013.jpg	134
123	69	D	Elbert L. Guillory R24-Opelousas	Elbert L.	Guillory	R	24	Opelousas	guillorye@legis.la.gov	337-943-2457	Senator	60	13	27	http://senate.la.gov/Guillory/images/Guillory2013.jpg	129
124	67	D	David Heitmeier D7-New Orleans	David	Heitmeier	D	7	New Orleans	HeitmeierD@legis.la.gov	504-361-6356	Senator	67	0	33	http://senate.la.gov/HeitmeierD/images/heitmeierd2008.jpg	112
125	67	D	Ronnie Johns R27-Lake Charles	Ronnie	Johns	R	27	Lake Charles	johnsr@legis.la.gov	337-491-2016	Senator	67	0	33	http://senate.la.gov/Johns/images/johns2012.jpg	132
126	100	A	Robert Kostelka R35-Monroe	Robert	Kostelka	R	35	Monroe	kostelka@legis.la.gov	318-362-3474	Senator	93	7	0	http://senate.la.gov/Kostelka/images/kostelka2004.jpg	140
127	82	B	Eric LaFleur D28-Ville Platte	Eric	LaFleur	D	28	Ville Platte	lafleure@legis.la.gov	337-363-5019	Senator	60	27	13	http://senate.la.gov/LaFleur/images/LaFleur2008.jpg	133
128	67	D	Gerald Long R31-Winnfield	Gerald	Long	R	31	Winnfield	longg@legis.la.gov	318-628-5799	Senator	67	0	33	http://senate.la.gov/Long/images/long2008.jpg	136
129	93	A	Danny Martiny R10-Metairie	Danny	Martiny	R	10	Metairie	martinyd@legis.la.gov	504-834-7676	Senator	87	7	7	http://senate.la.gov/Martiny/images/martiny2013.jpg	115
130	87	B	Fred Mills R22-Parks	Fred	Mills	R	22	Parks	millsf@legis.la.gov	337-365-8484	Senator	87	0	13	http://senate.la.gov/Mills/images/mills2011.jpg	127
131	87	B	JP Morrell D3-St. Bernard, New Orleans, Jeff	JP	Morrell	D	3	St. Bernard, New Orleans, Jeff	morrelljp@legis.la.gov	504-284-4794	Senator	87	0	13	http://senate.la.gov/Morrell/images/morrell2014.jpg	108
132	73	C	Blade Morrish R25-Jennings	Blade	Morrish	R	25	Jennings	morrishd@legis.la.gov	337-824-3979	Senator	73	0	27	http://senate.la.gov/Morrish/images/morrish2008.jpg	130
